iteration,reward_mean,length_mean,games,loss
500,2.88,5.88,8.0,8.703109779162332e-05
1000,1.88,4.88,8.0,8.343380613951012e-05
1500,1.44,4.44,9.0,0.00020530637993942946
2000,3.5,6.5,8.0,0.00013395067071542144
2500,2.33,5.33,9.0,6.682258390355855e-05
3000,1.62,4.62,8.0,0.00028060859767720103
3500,5.25,8.25,8.0,0.0001441206259187311
4000,4.0,7.0,8.0,0.0001999077940126881
4500,3.11,5.67,9.0,4.933984382660128e-05
5000,1.4,3.7,10.0,0.0001402145135216415
5500,2.18,4.82,11.0,9.034604590851814e-05
6000,3.62,6.62,8.0,0.00011329884000588208
6500,6.38,9.38,8.0,3.9180558815132827e-05
7000,5.12,8.12,8.0,0.000252633384661749
7500,3.0,5.56,9.0,3.4749045880744234e-05
8000,7.5,10.5,8.0,4.181464100838639e-05
8500,4.25,7.25,8.0,5.5721360695315525e-05
9000,4.62,7.62,8.0,4.371593604446389e-05
9500,3.75,6.75,8.0,3.3832195185823366e-05
10000,3.22,5.89,9.0,1.5957290088408627e-05
10500,3.4,6.0,10.0,0.00012237488408572972
11000,1.88,4.0,8.0,3.78135810024105e-05
11500,7.0,10.0,8.0,0.00017947352898772806
12000,3.25,5.75,8.0,0.0003452072269283235
12500,3.0,5.67,9.0,2.3627086193300784e-05
13000,5.38,8.38,8.0,0.00019566924311220646
13500,4.5,7.5,8.0,2.8987520636292174e-05
14000,5.0,8.0,8.0,2.1600446416414343e-05
14500,4.88,7.88,8.0,2.338057674933225e-05
15000,4.62,7.62,8.0,2.128666892531328e-05
15500,4.62,7.62,8.0,0.0003464909386821091
16000,4.75,7.75,8.0,9.297019278164953e-05
16500,3.5,6.5,8.0,3.8935635529924184e-05
17000,6.88,9.88,8.0,1.6110750948428176e-05
17500,1.8,4.4,10.0,0.0002815973712131381
18000,4.88,7.88,8.0,0.00010848639067262411
18500,5.5,8.5,8.0,0.00014232838293537498
19000,5.38,8.38,8.0,2.5063469365704805e-05
19500,4.5,7.5,8.0,2.6389870981802233e-05
20000,3.0,6.0,8.0,8.256299770437181e-05
